root@Week1:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet)
17:57:12.021608 IP 167.99.185.101.ssh > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.54967: Flags [P.], seq 756943972:756944016, ack 1712583962, win 501, length 44
17:57:12.021746 IP 167.99.185.101.ssh > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.54967: Flags [P.], seq 44:152, ack 1, win 501, length 108
17:57:12.021800 IP 167.99.185.101.ssh > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.54967: Flags [P.], seq 152:188, ack 1, win 501, length 36
17:57:12.033097 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.54967 > 167.99.185.101.ssh: Flags [.], ack 188, win 6235, length 0
17:57:12.055878 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:12.055925 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:12.566584 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:13.078727 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:13.078788 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:13.564810 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:14.073138 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:14.073189 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:14.576302 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:15.080332 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:15.080385 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:15.583389 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:16.081258 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:16.081309 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:16.605445 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:17.096066 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:17.096121 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:17.603309 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:18.113499 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:18.113550 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:18.622113 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:19.118836 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:19.118890 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:19.615310 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:20.126765 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:20.126818 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:20.627153 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:21.132177 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:21.132239 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:21.637630 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:22.142572 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:22.142623 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:22.652455 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:23.148440 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:23.148491 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:23.651414 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:24.166232 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:24.166283 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:24.584443 IP 194.147.140.109.56272 > 167.99.185.101.40831: Flags [S], seq 2217663651, win 1024, length 0
17:57:24.664491 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:25.163057 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:25.163124 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
